,C_minmax,I_minmax,Q_minmax,index_minmax,C_percentile,I_percentile,Q_percentile,index_percentile
2011-03-01,,,,,,,,
2011-04-01,,,,,,,,
2011-05-01,,,,,,,,
2011-06-01,,,,,,,,
2011-07-01,,,,,,,,
2011-08-01,,,,,,,,
2011-09-01,,,,,,,,
2011-10-01,,,,,,,,
2011-11-01,,,,,,,,
2011-12-01,,,,,,,,
2012-01-01,,,,,,,,
2012-02-01,,,,,,,,
2012-03-01,,,,,,,,
2012-04-01,,,,,,,,
2012-05-01,,,,,,,,
2012-06-01,,,,,,,,
2012-07-01,,,,,,,,
2012-08-01,,,,,,,,
2012-09-01,,,,,,,,
2012-10-01,,,,,,,,
2012-11-01,,,,,,,,
2012-12-01,,,,,,,,
2013-01-01,,,,,,,,
2013-02-01,,,,,,,,
2013-03-01,,,,,,,,
2013-04-01,,,,,,,,
2013-05-01,,,,,,,,
2013-06-01,,,,,,,,
2013-07-01,,,,,,,,
2013-08-01,,,,,,,,
2013-09-01,,,,,,,,
2013-10-01,,,,,,,,
2013-11-01,,,,,,,,
2013-12-01,,,,,,,,
2014-01-01,,,,,,,,
2014-02-01,,,,,,,,
2014-03-01,,,,,,,,
2014-04-01,,,,,,,,
2014-05-01,,,,,,,,
2014-06-01,,,,,,,,
2014-07-01,,,,,,,,
2014-08-01,,,,,,,,
2014-09-01,,,,,,,,
2014-10-01,,,,,,,,
2014-11-01,,,,,,,,
2014-12-01,,,,,,,,
2015-01-01,,,,,,,,
2015-02-01,,,,,,,,
2015-03-01,,,,,,,,
2015-04-01,,,,,,,,
2015-05-01,,,,,,,,
2015-06-01,,,,,,,,
2015-07-01,,,,,,,,
2015-08-01,,,,,,,,
2015-09-01,,,,,,,,
2015-10-01,,,,,,,,
2015-11-01,,,,,,,,
2015-12-01,,,,,,,,
2016-01-01,,,,,,,,
2016-02-01,0.4799999999999997,0.5,1.0,0.6599999999999999,0.55,0.6166666666666667,1.0,0.7222222222222223
2016-03-01,0.6,0.5,0.9725506805246665,0.6908502268415555,0.6333333333333333,0.6166666666666667,0.9666666666666667,0.7388888888888889
2016-04-01,0.6,0.5,1.0,0.7000000000000001,0.6333333333333333,0.6166666666666667,1.0,0.75
2016-05-01,0.6799999999999997,0.5499999999999998,0.9749943209794701,0.7349981069931566,0.6833333333333333,0.65,0.9833333333333333,0.7722222222222223
2016-06-01,0.7200000000000003,0.5,0.9310890047696613,0.7170296682565538,0.7,0.6,0.9666666666666667,0.7555555555555555
2016-07-01,0.6400000000000006,0.5,0.8532586043753161,0.6644195347917722,0.6333333333333333,0.6,0.8833333333333333,0.7055555555555556
2016-08-01,0.6400000000000006,0.5,0.8022453519074121,0.6474151173024709,0.6333333333333333,0.6166666666666667,0.85,0.7000000000000001
2016-09-01,0.6400000000000006,0.5,0.8474426356083036,0.6624808785361014,0.65,0.6333333333333333,0.8666666666666667,0.7166666666666667
2016-10-01,0.6,0.5,0.8158990546782403,0.6386330182260801,0.5833333333333334,0.65,0.8333333333333334,0.688888888888889
2016-11-01,0.5200000000000002,0.44999999999999973,0.656285574365805,0.5420951914552683,0.55,0.48333333333333334,0.6,0.5444444444444444
2016-12-01,0.4,0.3999999999999999,0.19787987458815184,0.33262662486271727,0.45,0.45,0.08333333333333333,0.3277777777777778
2017-01-01,0.35999999999999943,0.3999999999999999,0.3383638932231869,0.3661212977410621,0.4,0.4666666666666667,0.23333333333333334,0.3666666666666667
2017-02-01,0.3200000000000003,0.3500000000000001,0.4568692169531141,0.3756230723177048,0.36666666666666664,0.43333333333333335,0.43333333333333335,0.41111111111111115
2017-03-01,0.2799999999999997,0.3500000000000001,0.36282314836437013,0.33094104945478997,0.35,0.45,0.3,0.3666666666666667
2017-04-01,0.12000000000000029,0.2999999999999998,0.43564217674546457,0.2852140589151549,0.13333333333333333,0.4166666666666667,0.4166666666666667,0.32222222222222224
2017-05-01,0.0,0.3500000000000001,0.39000943102683905,0.24666981034227972,0.016666666666666666,0.48333333333333334,0.36666666666666664,0.2888888888888889
2017-06-01,0.0,0.25,0.31122726151184044,0.18707575383728015,0.016666666666666666,0.4,0.18333333333333332,0.19999999999999998
2017-07-01,0.11111111111111141,0.25,0.23992835575991758,0.20034648895700966,0.1,0.4166666666666667,0.13333333333333333,0.21666666666666667
2017-08-01,0.2222222222222215,0.25,0.16295272568752725,0.2117249826365829,0.23333333333333334,0.43333333333333335,0.06666666666666667,0.24444444444444446
2017-09-01,0.2962962962962966,0.21052631578947345,0.11024815526515093,0.20569025578364034,0.4,0.26666666666666666,0.05,0.23888888888888893
2017-10-01,0.18518518518518523,0.16666666666666657,0.11232436512654305,0.15472540565946494,0.2,0.16666666666666666,0.06666666666666667,0.14444444444444446
2017-11-01,0.11111111111111141,0.11764705882352951,0.0,0.07625272331154698,0.11666666666666667,0.15,0.016666666666666666,0.09444444444444444
2017-12-01,0.03703703703703626,0.0,0.0,0.01234567901234542,0.05,0.03333333333333333,0.016666666666666666,0.03333333333333333
2018-01-01,0.0,0.0,0.07217268456268752,0.024057561520895842,0.016666666666666666,0.05,0.03333333333333333,0.03333333333333333
2018-02-01,0.0,0.0,0.23733972960576682,0.07911324320192227,0.03333333333333333,0.016666666666666666,0.05,0.03333333333333333
2018-03-01,0.03571428571428621,0.0,0.17367021058470816,0.06979483209966479,0.06666666666666667,0.03333333333333333,0.05,0.05000000000000001
2018-04-01,0.14285714285714357,0.0,0.207998181465494,0.11695177477421252,0.2,0.05,0.06666666666666667,0.10555555555555556
2018-05-01,0.2499999999999997,0.0,0.15120878389327289,0.13373626129775754,0.35,0.016666666666666666,0.05,0.13888888888888887
2018-06-01,0.3214285714285721,0.0,0.17510513232462097,0.16551123458439768,0.5,0.016666666666666666,0.08333333333333333,0.20000000000000004
2018-07-01,0.21428571428571475,0.0714285714285712,0.09045990357805485,0.12539139643078026,0.26666666666666666,0.05,0.05,0.12222222222222222
2018-08-01,0.10714285714285737,0.0714285714285712,0.038312981610708764,0.07229480339404577,0.11666666666666667,0.06666666666666667,0.03333333333333333,0.07222222222222223
2018-09-01,0.14285714285714357,0.0,0.017910679672427418,0.05358927417652367,0.18333333333333332,0.03333333333333333,0.03333333333333333,0.08333333333333333
2018-10-01,0.10714285714285737,0.0,0.04898742351801629,0.05204342688695789,0.13333333333333333,0.05,0.06666666666666667,0.08333333333333333
2018-11-01,0.17857142857142852,0.0,0.006163490244665353,0.06157830627203129,0.21666666666666667,0.016666666666666666,0.03333333333333333,0.08888888888888889
2018-12-01,0.2857142857142859,0.0,0.0,0.0952380952380953,0.43333333333333335,0.03333333333333333,0.016666666666666666,0.16111111111111112
2019-01-01,0.3214285714285721,0.0,0.12398047104811709,0.14846968082556308,0.5,0.05,0.03333333333333333,0.19444444444444445
2019-02-01,0.39285714285714324,0.0,0.24487788216318546,0.2125783416734429,0.5666666666666667,0.016666666666666666,0.16666666666666666,0.25
2019-03-01,0.39285714285714324,0.0,0.23201668274589451,0.20829127520101257,0.5666666666666667,0.03333333333333333,0.16666666666666666,0.25555555555555554
2019-04-01,0.5714285714285718,0.0,0.28546734164930787,0.2856319710259599,0.6833333333333333,0.05,0.21666666666666667,0.3166666666666667
2019-05-01,0.6785714285714292,0.06249999999999979,0.29052935727270424,0.3438669286147111,0.8,0.11666666666666667,0.26666666666666666,0.39444444444444443
2019-06-01,1.0,0.06249999999999979,0.3513175817075109,0.4712725272358369,1.0,0.13333333333333333,0.31666666666666665,0.48333333333333334
2019-07-01,0.8999999999999998,0.06249999999999979,0.2860368403049701,0.41617894676832323,0.9666666666666667,0.15,0.23333333333333334,0.45
2019-08-01,0.9333333333333336,0.12500000000000014,0.28054593918798654,0.4462930908404401,0.9833333333333333,0.21666666666666667,0.21666666666666667,0.47222222222222215
2019-09-01,0.6666666666666666,0.18749999999999992,0.28094356069362647,0.3783700757867643,0.7666666666666667,0.2833333333333333,0.23333333333333334,0.4277777777777778
2019-10-01,0.5666666666666664,0.18749999999999992,0.24023135234547605,0.3314660063373808,0.6,0.3,0.18333333333333332,0.3611111111111111
2019-11-01,0.39999999999999974,0.18749999999999992,0.1981927225528276,0.2618975741842758,0.48333333333333334,0.31666666666666665,0.13333333333333333,0.3111111111111111
2019-12-01,0.2666666666666669,0.18749999999999992,0.024797849713271185,0.1596548387933127,0.3333333333333333,0.3333333333333333,0.03333333333333333,0.2333333333333333
2020-01-01,0.2666666666666669,0.12500000000000014,0.10359802115763263,0.16508822927476655,0.35,0.23333333333333334,0.05,0.2111111111111111
2020-02-01,0.2333333333333331,0.24999999999999972,0.20482994655594147,0.22938775996309144,0.31666666666666665,0.4166666666666667,0.2,0.3111111111111111
2020-03-01,0.5666666666666664,0.31250000000000006,0.24516541738430922,0.3747773613503252,0.65,0.4666666666666667,0.2833333333333333,0.4666666666666666
2020-04-01,0.39999999999999974,0.5,0.4283229775251577,0.4427743258417191,0.55,0.5666666666666667,0.5,0.5388888888888889
2020-05-01,0.0,0.5624999999999998,0.31657581127090706,0.29302527042363563,0.016666666666666666,0.6,0.43333333333333335,0.35000000000000003
2020-06-01,0.0,0.37499999999999983,0.1678060787477241,0.18093535958257465,0.016666666666666666,0.48333333333333334,0.13333333333333333,0.2111111111111111
2020-07-01,0.0,0.24999999999999972,0.01685373950402727,0.08895124650134234,0.016666666666666666,0.43333333333333335,0.03333333333333333,0.16111111111111112
2020-08-01,0.0,0.12500000000000014,0.0,0.04166666666666671,0.03333333333333333,0.25,0.016666666666666666,0.09999999999999999
2020-09-01,0.05882352941176417,0.0,0.0,0.019607843137254725,0.05,0.016666666666666666,0.016666666666666666,0.027777777777777776
2020-10-01,0.1764705882352939,0.0,0.0,0.058823529411764636,0.08333333333333333,0.016666666666666666,0.016666666666666666,0.03888888888888888
2020-11-01,0.3333333333333333,0.0,0.0,0.1111111111111111,0.1,0.016666666666666666,0.016666666666666666,0.044444444444444446
2020-12-01,0.4705882352941176,0.0,0.0,0.15686274509803919,0.26666666666666666,0.016666666666666666,0.016666666666666666,0.09999999999999999
2021-01-01,0.5098039215686272,0.0,0.0805288853959235,0.1967776023215169,0.36666666666666664,0.016666666666666666,0.05,0.14444444444444443
2021-02-01,0.4705882352941176,0.0,0.17311362467380353,0.21456728665597372,0.2833333333333333,0.03333333333333333,0.08333333333333333,0.13333333333333333
2021-03-01,0.5294117647058825,0.0,0.2153533575103212,0.24825504073873458,0.45,0.016666666666666666,0.11666666666666667,0.19444444444444445
2021-04-01,0.5294117647058825,0.0,0.2511080606108322,0.2601732751055716,0.4666666666666667,0.03333333333333333,0.15,0.21666666666666667
2021-05-01,0.6078431372549018,0.04545454545454529,0.261882083592819,0.30505992210075533,0.65,0.08333333333333333,0.16666666666666666,0.3
2021-06-01,0.627450980392157,0.0,0.29929126809115564,0.30891408282777083,0.7166666666666667,0.05,0.18333333333333332,0.3166666666666667
2021-07-01,0.7058823529411763,0.04545454545454529,0.3068657346483694,0.352734211014697,0.8,0.11666666666666667,0.2,0.37222222222222223
2021-08-01,0.7843137254901964,0.04545454545454529,0.3803207911709564,0.4033630207052327,0.9333333333333333,0.13333333333333333,0.26666666666666666,0.4444444444444444
2021-09-01,0.9607843137254903,0.09090909090909098,0.4689154699682531,0.5068696248676116,0.9833333333333333,0.16666666666666666,0.36666666666666664,0.5055555555555555
2021-10-01,1.0,0.09523809523809534,0.5937976774848817,0.5630119242409923,1.0,0.18333333333333332,0.5833333333333334,0.5888888888888889
2021-11-01,1.0,0.1499999999999999,0.6701160108082567,0.6067053369360855,1.0,0.21666666666666667,0.7,0.638888888888889
2021-12-01,1.0,0.20000000000000018,0.6588290774886878,0.6196096924962293,1.0,0.23333333333333334,0.6,0.6111111111111112
2022-01-01,1.0,0.3157894736842103,0.8847156337501493,0.7335017024781197,1.0,0.2833333333333333,0.9,0.7277777777777777
2022-02-01,0.9242424242424242,0.368421052631579,1.0,0.764221158958001,0.9666666666666667,0.35,1.0,0.7722222222222221
2022-03-01,0.8787878787878787,0.4210526315789472,1.0,0.7666135034556086,0.9333333333333333,0.4666666666666667,1.0,0.7999999999999999
2022-04-01,0.893939393939394,0.5263157894736841,1.0,0.8067517278043593,0.9333333333333333,0.7,1.0,0.8777777777777778
2022-05-01,0.8636363636363638,0.764705882352941,1.0,0.8761140819964349,0.9,0.8666666666666667,1.0,0.9222222222222222
2022-06-01,0.9545454545454545,0.7058823529411765,1.0,0.8868092691622103,0.9833333333333333,0.85,1.0,0.9444444444444443
2022-07-01,1.0,0.8823529411764705,1.0,0.9607843137254902,1.0,0.95,1.0,0.9833333333333334
2022-08-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-09-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-10-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-11-01,1.0,1.0,0.9900809849150888,0.9966936616383629,1.0,1.0,0.9833333333333333,0.9944444444444445
2022-12-01,1.0,1.0,0.9374004507319563,0.9791334835773188,1.0,1.0,0.95,0.9833333333333334
2023-01-01,1.0,1.0,0.9920465678376961,0.9973488559458987,1.0,1.0,0.9833333333333333,0.9944444444444445
2023-02-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-03-01,1.0,1.0,0.9534504164253911,0.9844834721417971,1.0,1.0,0.9833333333333333,0.9944444444444445
2023-04-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-05-01,1.0,1.0,0.987505664722233,0.9958352215740777,1.0,1.0,0.9833333333333333,0.9944444444444445
2023-06-01,0.9759036144578314,1.0,0.9393289520615268,0.9717441888397861,0.9833333333333333,1.0,0.9333333333333333,0.9722222222222223
2023-07-01,0.9277108433734942,0.9565217391304349,0.8980319984299239,0.9274215269779509,0.8833333333333333,0.9666666666666667,0.85,0.9
2023-08-01,0.8674698795180725,0.9130434782608695,0.9045886593715887,0.8950340057168437,0.8166666666666667,0.9333333333333333,0.85,0.8666666666666667
2023-09-01,0.8674698795180725,0.8260869565217394,0.8661546337663836,0.8532371566020651,0.8166666666666667,0.8666666666666667,0.8166666666666667,0.8333333333333334
2023-10-01,0.8795180722891566,0.8260869565217394,0.876146839901003,0.8605839562372997,0.8166666666666667,0.8666666666666667,0.8166666666666667,0.8333333333333334
2023-11-01,0.8313253012048194,0.782608695652174,0.859444743363083,0.8244595800733587,0.75,0.8166666666666667,0.7833333333333333,0.7833333333333333
2023-12-01,0.7469879518072291,0.6956521739130433,0.7627466073622781,0.7351289110275169,0.6833333333333333,0.75,0.6333333333333333,0.6888888888888888
2024-01-01,0.7349397590361446,0.6521739130434783,0.8528105103443798,0.7466413941413342,0.65,0.7,0.7333333333333333,0.6944444444444445
2024-02-01,0.7349397590361446,0.6521739130434783,0.927261555634034,0.7714584092378857,0.65,0.7,0.9166666666666666,0.7555555555555555
2024-03-01,0.7590361445783131,0.6086956521739132,0.9624577434575494,0.776729846736592,0.7,0.6333333333333333,0.95,0.7611111111111111
2024-04-01,0.7710843373493976,0.6521739130434783,0.9710731241272009,0.798110458173359,0.7,0.7,0.95,0.7833333333333332
2024-05-01,0.7710843373493976,0.6521739130434783,0.9526198528080617,0.791959367733646,0.7,0.7,0.9166666666666666,0.7722222222222221
2024-06-01,0.8072289156626508,0.6086956521739132,0.9347747781531663,0.7835664486632434,0.7166666666666667,0.6,0.8666666666666667,0.7277777777777779
2024-07-01,0.8313253012048194,0.6521739130434783,0.9185303003362743,0.800676504861524,0.75,0.7,0.8333333333333334,0.7611111111111111
2024-08-01,0.8674698795180725,0.6521739130434783,0.9405333228759577,0.8200590384791696,0.8,0.7,0.9,0.7999999999999999
2024-09-01,0.855421686746988,0.6956521739130433,0.9823322045432281,0.8444686884010865,0.7333333333333333,0.75,0.95,0.8111111111111112
2024-10-01,0.855421686746988,0.6086956521739132,0.9844349745515915,0.8161841044908309,0.7333333333333333,0.55,0.95,0.7444444444444445
2024-11-01,0.8433734939759039,0.5652173913043478,0.9592401281672432,0.7892770044824983,0.7,0.5,0.8833333333333333,0.6944444444444443
2024-12-01,0.8915662650602411,0.5217391304347827,0.908477471644922,0.7739276223799818,0.8333333333333334,0.45,0.7166666666666667,0.6666666666666666
2025-01-01,0.9156626506024097,0.6956521739130433,1.0,0.8704382748384843,0.85,0.75,1.0,0.8666666666666667
2025-02-01,0.9277108433734942,0.6956521739130433,1.0,0.8744543390955125,0.8833333333333333,0.75,1.0,0.8777777777777778
2025-03-01,0.9518072289156628,0.7391304347826089,1.0,0.8969792212327573,0.9166666666666666,0.7666666666666667,1.0,0.8944444444444445
2025-04-01,0.9397590361445783,0.8695652173913044,1.0,0.9364414178452942,0.8833333333333333,0.8666666666666667,1.0,0.9166666666666666
2025-05-01,0.9638554216867473,0.9565217391304349,1.0,0.9734590536057274,0.95,0.9666666666666667,1.0,0.9722222222222222
2025-06-01,0.9518072289156628,1.0,1.0,0.9839357429718877,0.9,1.0,1.0,0.9666666666666667
2025-07-01,0.9518072289156628,1.0,0.9940035084602725,0.9819369124586451,0.9,1.0,0.9833333333333333,0.9611111111111111
2025-08-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-09-01,1.0,0.9642857142857144,1.0,0.9880952380952381,1.0,0.9833333333333333,1.0,0.9944444444444445
2025-10-01,1.0,0.9285714285714285,1.0,0.9761904761904762,1.0,0.9666666666666667,1.0,0.9888888888888889
2025-11-01,0.9558823529411764,0.9642857142857144,0.9929551033202063,0.9710410568490323,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333
2025-12-01,0.9852941176470587,1.0,0.9215219002920685,0.9689386726463757,0.9833333333333333,1.0,0.9,0.9611111111111111
2026-01-01,1.0,0.9642857142857144,0.9866433512521713,0.9836430218459619,1.0,0.9666666666666667,0.9666666666666667,0.9777777777777779
